,university,country,ror_id,country_code,latitude,longitude,main_field,period,num_pubs,num_pubs_oa,num_pubs_gold_oa,num_pubs_hybrid_oa,num_pubs_bronze_oa,num_pubs_green_oa,prop_pubs_oa,prop_pubs_gold_oa,prop_pubs_hybrid_oa,prop_pubs_bronze_oa,prop_pubs_green_oa,num_pubs_top_1,num_pubs_top_10,prop_pubs_top_1,prop_pubs_top_10,ISO-3,geometry,English Institution Name,Foundation year,Total third party funding (EURO),Total academic personnel (HC),Total students enrolled ISCED 5-7,ETER_year,ranking,English Institution Namethe,location,overall score,teaching score,research score,citations score,industry income score,intl outlook score
142,University of Ioannina,Greece,01qg3j183,GR,39.616251,20.842216,All sciences,2018-2021,4295.0,2538.0,1469.0,328.0,330.0,411.0,0.590919674039581,0.342025611175786,0.0763678696158324,0.0768335273573923,0.0956926658905704,65.2088333333334,541.554612324042,0.0151824990298797,0.126089548853095,GRC,POINT (39.616251 20.842216),University of Ioannina,1970,,824.0,28607.0,2021,681.0,University of Ioannina,Greece,33.2,16.1,16.3,64.2,36.4,44.5
269,"Universitat Politècnica de Catalunya, BarcelonaTech",Spain,03mb6wj31,ES,41.388361,2.147655,All sciences,2018-2021,10173.0,8983.0,2981.0,972.0,362.0,4668.0,0.883023690160228,0.29303057111963,0.095547036272486,0.0355843900520987,0.458861692716013,145.352333333338,1277.3240887034,0.0142880500671717,0.125560217114264,ESP,POINT (41.388361 2.147655),Open University of Catalonia,1994,,438.0,71663.0,2021,756.0,Polytechnic University of Catalonia,Spain,33.1,23.5,17.3,51.8,41.5,57.5
268,"Universitat Politècnica de Catalunya, BarcelonaTech",Spain,03mb6wj31,ES,41.388361,2.147655,All sciences,2018-2021,10173.0,8983.0,2981.0,972.0,362.0,4668.0,0.883023690160228,0.29303057111963,0.095547036272486,0.0355843900520987,0.458861692716013,145.352333333338,1277.3240887034,0.0142880500671717,0.125560217114264,ESP,POINT (41.388361 2.147655),Universitat Politècnica de Catalunya · BarcelonaTech,1971,,3300.0,29306.0,2021,756.0,Polytechnic University of Catalonia,Spain,33.1,23.5,17.3,51.8,41.5,57.5
24,Palacký University Olomouc,Czech Republic,04qxnmv42,CZ,49.595441,17.259972,All sciences,2018-2021,4662.0,2771.0,1607.0,435.0,238.0,491.0,0.594380094380094,0.344701844701845,0.0933075933075933,0.0510510510510511,0.105319605319605,91.0939999999996,582.024238849924,0.0195396825396825,0.124844324077633,CZE,POINT (49.595441 17.259972),"Palacký University, Olomouc",1573,,2572.0,21333.0,2021,749.0,Palacký University Olomouc,Czech Republic,33.0,20.4,22.4,49.5,34.7,59.4
247,University of Aveiro,Portugal,00nt41z93,PT,40.630343,-8.65756,All sciences,2018-2021,9553.0,5281.0,2515.0,548.0,274.0,1944.0,0.552810635402491,0.26326808332461,0.0573641787920025,0.0286820893960013,0.203496283889877,103.921428571427,1018.16025393079,0.0108784076804593,0.106580158477001,PRT,POINT (40.630343 -8.65756),University of Aveiro,1973,33896513.0,1365.0,13160.0,2021,615.0,University of Aveiro,Portugal,33.0,24.7,26.2,42.1,41.3,54.7
292,University of the Balearic Islands,Spain,03e10x626,ES,39.641222,2.645816,All sciences,2018-2021,3718.0,2338.0,1170.0,324.0,236.0,608.0,0.628832705755783,0.314685314685315,0.0871436256051641,0.0634749865519096,0.163528778913394,65.5176666666663,494.541215282181,0.0176217500448269,0.133012699107634,ESP,POINT (39.641222 2.645816),University of the Balearic Islands,1978,,1822.0,13558.0,2021,616.0,University of the Balearic Islands,Spain,32.9,17.6,14.5,62.5,33.4,49.2
184,University of Palermo,Italy,044k9ta02,IT,38.117824,13.369827,All sciences,2018-2021,9221.0,6082.0,3243.0,668.0,592.0,1579.0,0.659581390304739,0.351697212883635,0.0724433358637892,0.0642012796876695,0.171239561869645,128.393999999999,1139.08221389946,0.0139240863246936,0.123531310476029,ITA,POINT (38.117824 13.369827),University of Palermo,1806,,2144.0,43215.0,2021,750.0,University of Palermo,Italy,32.8,18.3,19.3,61.3,34.0,30.5
362,University of Eastern Piedmont Amedeo Avogadro,Italy,04387x656,IT,45.3275823219339,8.42453121209386,All sciences,2018-2021,4330.0,3159.0,1639.0,480.0,387.0,653.0,0.729561200923788,0.378521939953811,0.110854503464203,0.0893764434180139,0.15080831408776,71.4388333333318,585.945973244651,0.0164985758275593,0.135322395668511,ITA,POINT (45.3275823219339 8.42453121209386),"University of Piemonte Orientale ""Amedeo Avogadro""",1998,,567.0,14885.0,2021,609.0,Amedeo Avogadro University of Eastern Piedmont,Italy,32.7,13.2,19.4,63.0,33.7,42.3
86,University of Siegen,Germany,02azyry73,DE,50.9122829255765,8.02713109968826,All sciences,2018-2021,2305.0,1281.0,526.0,389.0,86.0,280.0,0.555748373101952,0.228199566160521,0.168763557483731,0.0373101952277657,0.121475054229935,27.2566666666661,259.666905634676,0.0118250180766447,0.112653755156042,DEU,POINT (50.9122829255765 8.02713109968826),University of Siegen,1972,39301903.0,2177.0,17177.0,2021,778.0,University of Siegen,Germany,32.7,21.9,24.9,44.9,39.7,55.7
121,Manchester Metropolitan University,United Kingdom,02hstj355,GB,53.471157,-2.237482,All sciences,2018-2021,4397.0,3900.0,1042.0,826.0,226.0,1806.0,0.886968387536957,0.236979758926541,0.187855355924494,0.0513986809188083,0.410734591767114,76.8447222222219,621.423505708058,0.0174766254769666,0.141328975598831,GBR,POINT (53.471157 -2.237482),Manchester Metropolitan University,1970,29086784.55095393,2320.0,36310.0,2021,716.0,Manchester Metropolitan University,United Kingdom,32.6,19.2,14.9,54.8,33.8,67.5
149,Eötvös Loránd University,Hungary,01jsq2704,HU,47.490628,19.058523,All sciences,2018-2021,5209.0,4030.0,1468.0,1232.0,455.0,875.0,0.773660971395661,0.281819927049338,0.236513726243041,0.0873488193511231,0.16797849875216,94.5140000000019,571.867309237687,0.0181443655212136,0.109784470961353,HUN,POINT (47.490628 19.058523),Eötvös Loránd University,1635,,2871.0,32726.0,2021,653.0,Eötvös Loránd University,Hungary,32.5,29.8,17.7,44.9,34.2,52.5
454,Nantes Université (EPE),France,03gnr7b55,FR,47.2096231813941,-1.55595927730833,All sciences,2018-2021,10346.0,7567.0,2497.0,1878.0,885.0,2307.0,0.731393775372124,0.241349313744442,0.181519427798183,0.085540305432051,0.222984728397448,199.710547619048,1449.13124959773,0.0193031652444469,0.140066813222282,FRA,POINT (47.2096231813941 -1.55595927730833),University of Nantes,1961,,,40940.0,2021,732.0,University of Nantes,France,32.4,24.9,20.0,46.7,38.9,52.6
